SF,LREE,HREE,LREE_Concn,HREE_Concn,chelant,CA_ratio,Eu_ratio,Voltage,Initial_volume,Test_duration
1.1,La,Eu,825,825,None,0,1,10,900,300
8.4,La,Eu,825,825,EDTA,1,1,10,900,300
5.7,La,Eu,825,825,EDTA,0.5,1,10,900,240
1.3,La,Eu,825,825,CDTA,0.5,1,10,1200,240
1.2,La,Eu,825,825,CDTA,2,1,10,900,300
1.5,La,Eu,825,825,DTPA,0.5,1,10,1200,420
4.6,La,Eu,825,825,DTPA,1,1,10,1200,420
21.0,La,Eu,825,825,CDTA,1,1,10,1200,360
33.6,La,Eu,825,825,CDTA,2,1,10,1200,360
7.2,La,Eu,825,825,CDTA,0.5,1,10,1200,240
1.2,La,Eu,825,825,DPTA,2,1,10,,300
32.2,La,Eu,825,825,HEDTA,1,1,10,1300,270
5.2,La,Eu,825,825,HEDTA,2,1,10,1300,240
16.9,La,Eu,825,825,CDTA,2,1,12,1300,300
8.1,La,Eu,825,825,CDTA,2,1,8,1300,240
9.5,La,Eu,825,825,CDTA,2,1,10,1300,
5.8,La,Eu,825,825,CDTA,2,1,8,1300,300
6.5,La,Eu,825,825,CDTA,2,1,12,1300,240
8.4,La,Eu,825,825,CDTA,0.5,1,10,1300,360
56.2,La,Eu,825,825,CDTA,1,1,10,1300,300
4.5,La,Eu,825,825,CDTA,2,1,10,1300,240
4.0,La,Eu,825,825,CDTA,2,1,8,1300,240
9.5,La,Eu,825,825,CDTA,0.5,1,12,1300,360
41.9,La,Eu,825,825,HEDTA,1,1,10,1300,240
2.9,La,Eu,825,825,NTA,0.5,1,10,1300,360
2.7,La,Eu,825,825,NTA,1,1,10,1300,360
1.2,La,Eu,825,825,NTA,2,1,10,1300,420
43.4,La,Eu,825,825,HEDTA,1,1,10,1300,300
0.0,La,Eu,825,14,None,0,1,10,1300,300
2.0,La,Eu,825,14,EDTA,1,1,10,1300,300
9.9,La,Eu,825,14,CDTA,2,1,10,1300,300
0.1,La,Eu,825,14,HEDTA,1,1,10,1300,240
22.1,La,Eu,825,14,HEDTA ,2,1,10,1300,240
3.1,La,Eu,825,14,CDTA,0.5,1,10,1255,240
4.6,La,Eu,825,14,CDTA,1,1,10,1300,240
5.6,La,Eu,825,14,CDTA,2,1,10,1300,180
1.5,La,Eu,825,14,None,0,1,10,1300,240
2.1,La,Eu,825,14,EDTA,1,1,10,1300,240
7.3,La,Eu,825,14,HEDTA,0.5,1,10,1300,240
3.7,La,Eu,825,14,EDTA,1,1,10,1300,240
5.5,La,Eu,825,14,EDTA,2,1,10,1300,240
